manufacturers_id	color_name	color_image_url	color_category
47	Antolian	http://stanton-carpet.s3.amazonaws.com/Images/BagiraRunner_Antolian.jpg	Stanton Custom
47	Animalia	http://stanton-carpet.s3.amazonaws.com/Images/BagiraRunner_Animalia.jpg	Stanton Custom
48	Antolian	http://stanton-carpet.s3.amazonaws.com/Images/BagiraRunner_Antolian.jpg	Stanton Custom
48	Animalia	http://stanton-carpet.s3.amazonaws.com/Images/BagiraRunner_Animalia.jpg	Stanton Custom
48	Zanzibar	http://stanton-carpet.s3.amazonaws.com/Images/BagiraRunner_Zanzibar.jpg	Stanton Custom
49	Seaspray		Stanton Custom
49	Sandbar		Stanton Custom
49	Cowrie		Stanton Custom
49	Dove		Stanton Custom
49	Clapboard Grey		Stanton Custom
49	Nautical Blue		Stanton Custom
50	Almond		Stanton Custom
50	Sandstone		Stanton Custom
50	Flint		Stanton Custom
50	Silver		Stanton Custom
51	Birch		Stanton Custom
51	Sand		Stanton Custom
51	Straw		Stanton Custom
51	Harvest		Stanton Custom
52	Dusk		Stanton Custom
52	Cafe		Stanton Custom
52	Belgian Beige		Stanton Custom
52	Winter Taupe		Stanton Custom
52	Midnight		Stanton Custom
52	Champagne		Stanton Custom
52	Cherry Blossom		Stanton Custom
52	Pompeii Red		Stanton Custom
52	Ocean		Stanton Custom
52	Spring Path		Stanton Custom
52	Bittersweet		Stanton Custom
52	Lavender Fields		Stanton Custom
52	Silver		Stanton Custom
52	Blue Sky		Stanton Custom
52	Indigo		Stanton Custom
53	Shilling		Stanton Custom
53	Ocean		Stanton Custom
53	Beach		Stanton Custom
53	Saddle		Stanton Custom
53	Navy		Stanton Custom
53	Blackstone		Stanton Custom
54	Bark		Stanton Custom
54	Mocha		Stanton Custom
54	Sea Breeze		Stanton Custom
54	Straw		Stanton Custom
55	Seafoam		Stanton Custom
56	Seafoam		Stanton Custom
57	Spice		Stanton Custom
57	Graphite		Stanton Custom
57	Bramble		Stanton Custom
57	Cafe		Stanton Custom
58	Autumn		Stanton Custom
58	Winter Shade		Stanton Custom
58	Cremerie		Stanton Custom
59	Icy Mineral		Stanton Custom
60	Icy Mineral		Stanton Custom
61	Icy Mineral		Stanton Custom
62	Icy Mineral		Stanton Custom
63	Red Stone		Stanton Custom
63	Espresso		Stanton Custom
63	Portobello		Stanton Custom
63	Spring Moss		Stanton Custom
63	Golden Harvest		Stanton Custom
64	Spring Green & Pink		Stanton Custom
65	Oceanside	http://stanton-carpet.s3.amazonaws.com/Images/Blake_Oceanside.jpg	Stanton Custom
65	Flax	http://stanton-carpet.s3.amazonaws.com/Images/Blake_Flax.jpg	Stanton Custom
65	Sporan Silver		Stanton Custom
66	Chamois		Stanton Custom
66	Meringue		Stanton Custom
66	Soleil		Stanton Custom
66	Heather Grey		Stanton Custom
66	Fawn		Stanton Custom
66	Barley		Stanton Custom
67	Vanilla		Stanton Custom
67	Bamboo		Stanton Custom
67	Sand		Stanton Custom
67	Mustang		Stanton Custom
67	Greige		Stanton Custom
68	Country Den		Stanton Custom
68	Olive		Stanton Custom
68	Wedgewood		Stanton Custom
69	Chestnut		Stanton Custom
69	Doe		Stanton Custom
69	Smoke		Stanton Custom
69	Silver Cloud		Stanton Custom
69	Kohl		Stanton Custom
69	Shell		Stanton Custom
69	Linen Grey		Stanton Custom
70	Warm Beige		Stanton Custom
70	Hemp		Stanton Custom
70	Oatmeal		Stanton Custom
70	Cream		Stanton Custom
70	Pebble		Stanton Custom
70	Charcoal		Stanton Custom
71	Saddle	http://stanton-carpet.s3.amazonaws.com/Images/Bristol_Saddle.jpg	Stanton Custom
71	Beach	http://stanton-carpet.s3.amazonaws.com/Images/Bristol_Beach.jpg	Stanton Custom
71	Navy	http://stanton-carpet.s3.amazonaws.com/Images/Bristol_Navy.jpg	Stanton Custom
71	Blackstone	http://stanton-carpet.s3.amazonaws.com/Images/Bristol_Blackstone.jpg	Stanton Custom
71	Shilling	http://stanton-carpet.s3.amazonaws.com/Images/Bristol_Shilling.jpg	Stanton Custom
72	Coronation		Stanton Custom
72	Kohl	http://stanton-carpet.s3.amazonaws.com/Images/BrittanicaRunner_Kohl.jpg	Stanton Custom
72	Terra	http://stanton-carpet.s3.amazonaws.com/Images/BrittanicaRunner_Terra.jpg	Stanton Custom
72	Mantle	http://stanton-carpet.s3.amazonaws.com/Images/BrittanicaRunner_Mantle.jpg	Stanton Custom
