manufacturers_id	finial_name	finial_image_url	rod_type	finish
4	Ball	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Sovereign/AB/Dec_Ball.jpg		Antique Brass
4	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Sovereign/AB/Dec_Urn.jpg		Antique Brass
4	Pyramid	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Sovereign/AB/Dec_Ball.jpg		Antique Brass
4	Pineapple	http://zoroufy.s3.amazonaws.com/		Chrome
4	Ball	http://zoroufy.s3.amazonaws.com/		Chrome
4	Urn	http://zoroufy.s3.amazonaws.com/		Chrome
4	Pyramid	http://zoroufy.s3.amazonaws.com/		Chrome
4	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Sovereign/AP/Dec_Pine.jpg		Antique Pewter
4	Ball	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Sovereign/AP/Dec_Ball.jpg		Antique Pewter
4	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Sovereign/AP/Dec_Urn.jpg		Antique Pewter
4	Pyramid	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Sovereign/AP/Dec_Ball.jpg		Antique Pewter
4	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Sovereign/WI/Dec_Pine.jpg		Wrought Iron
4	Ball	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Sovereign/WI/Dec_Ball.jpg		Wrought Iron
4	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Sovereign/WI/Dec_Urn.jpg		Wrought Iron
4	Pyramid	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Sovereign/WI/Dec_Ball.jpg		Wrought Iron
4	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Sovereign/ORB/Dec_Pine.jpg		Oil-Rubbed Bronze
4	Ball	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Sovereign/ORB/Dec_Ball.jpg		Oil-Rubbed Bronze
4	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Sovereign/ORB/Dec_Urn.jpg		Oil-Rubbed Bronze
4	Pyramid	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Sovereign/ORB/Dec_Ball.jpg		Oil-Rubbed Bronze
5	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/PB/Fluted_Dec_Pine.jpg	Smth	Polished Brass
5	Acorn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/PB/Fluted_Dec_Acorn.jpg	Smth	Polished Brass
5	Ball	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/PB/Fluted_Dec_Acorn.jpg	Smth	Polished Brass
5	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/PB/Fluted_Dec_Acorn.jpg	Smth	Polished Brass
5	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/BB/BB_Fluted_Dec_Pine.jpg	Smth	Brushed Brass
5	Acorn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/BB/BB_Fluted_Dec_Acorn.jpg	Smth	Brushed Brass
