manufacturers_id	shape_image_url	height	width	shape_name
70	http://s7d5.scene7.com/is/image/Karastan/ 2120R_00588 	30.0	96.0	Runner
70	http://s7d5.scene7.com/is/image/Karastan/ 2120R_00588 	30.0	144.0	Runner
70	http://s7d5.scene7.com/is/image/Karastan/2120_588	30.0	48.0	Rectangle
70	http://s7d5.scene7.com/is/image/Karastan/2120_588	33.0	60.0	Rectangle
70	http://s7d5.scene7.com/is/image/Karastan/2120_588	67.0	95.0	Rectangle
70	http://s7d5.scene7.com/is/image/Karastan/2120_588	96.0	125.0	Rectangle
70	http://s7d5.scene7.com/is/image/Karastan/2120_588	102.0	138.0	Rectangle
71	http://s7d5.scene7.com/is/image/Karastan/35505_33013	29.0	48.0	Rectangle
71	http://s7d5.scene7.com/is/image/Karastan/35505_33013	39.0	66.0	Rectangle
71	http://s7d5.scene7.com/is/image/Karastan/35505_33013	66.0	99.0	Rectangle
71	http://s7d5.scene7.com/is/image/Karastan/35505_33013	96.0	120.0	Rectangle
71	http://s7d5.scene7.com/is/image/Karastan/35505_33013	102.0	138.0	Rectangle
71	http://s7d5.scene7.com/is/image/Karastan/35505_33013	114.0	158.0	Rectangle
71	http://s7d5.scene7.com/is/image/Karastan/35505_33013R	29.0	96.0	Runner
71	http://s7d5.scene7.com/is/image/Karastan/35505_33013R	29.0	144.0	Runner
72	http://s7d5.scene7.com/is/image/Karastan/35505_33012	29.0	48.0	Rectangle
72	http://s7d5.scene7.com/is/image/Karastan/35505_33012	39.0	66.0	Rectangle
72	http://s7d5.scene7.com/is/image/Karastan/35505_33012	66.0	99.0	Rectangle
72	http://s7d5.scene7.com/is/image/Karastan/35505_33012	96.0	120.0	Rectangle
72	http://s7d5.scene7.com/is/image/Karastan/35505_33012	102.0	138.0	Rectangle
72	http://s7d5.scene7.com/is/image/Karastan/35505_33012	114.0	158.0	Rectangle
72	http://s7d5.scene7.com/is/image/Karastan/35505R_33012	29.0	96.0	Runner
72	http://s7d5.scene7.com/is/image/Karastan/35505R_33012	29.0	144.0	Runner
75	http://s7d5.scene7.com/is/image/Karastan/700_718	30.0	51.0	Rectangle
75	http://s7d5.scene7.com/is/image/Karastan/700_718	51.0	72.0	Rectangle
75	http://s7d5.scene7.com/is/image/Karastan/700_718	69.0	108.0	Rectangle
75	http://s7d5.scene7.com/is/image/Karastan/700_718	104.0	126.0	Rectangle
75	http://s7d5.scene7.com/is/image/Karastan/700_718	104.0	144.0	Rectangle
79	http://s7d5.scene7.com/is/image/Karastan/700_717	30.0	51.0	Rectangle
79	http://s7d5.scene7.com/is/image/Karastan/700_717	51.0	72.0	Rectangle
79	http://s7d5.scene7.com/is/image/Karastan/700_717	69.0	108.0	Rectangle
79	http://s7d5.scene7.com/is/image/Karastan/700_717	104.0	126.0	Rectangle
79	http://s7d5.scene7.com/is/image/Karastan/700_717	104.0	144.0	Rectangle
79	http://s7d5.scene7.com/is/image/Karastan/700_717	120.0	168.0	Rectangle
79	http://s7d5.scene7.com/is/image/Karastan/700_717	137.0	192.0	Rectangle
79	http://s7d5.scene7.com/is/image/Karastan/700_717_Round	104.0	0.0	Round
79	http://s7d5.scene7.com/is/image/Karastan/700_717R	30.0	102.0	Runner
79	http://s7d5.scene7.com/is/image/Karastan/700_717R	30.0	144.0	Runner
79	http://s7d5.scene7.com/is/image/Karastan/B717R	30.0	0.0	Continuous Runner
81	http://s7d5.scene7.com/is/image/Karastan/700_701	69.0	108.0	Rectangle
81	http://s7d5.scene7.com/is/image/Karastan/700_701	104.0	126.0	Rectangle
81	http://s7d5.scene7.com/is/image/Karastan/700_701	104.0	144.0	Rectangle
81	http://s7d5.scene7.com/is/image/Karastan/700_701	120.0	168.0	Rectangle
82	http://s7d5.scene7.com/is/image/Karastan/2120_516	30.0	48.0	Rectangle
82	http://s7d5.scene7.com/is/image/Karastan/2120_516	33.0	60.0	Rectangle
82	http://s7d5.scene7.com/is/image/Karastan/2120_516	44.0	60.0	Rectangle
82	http://s7d5.scene7.com/is/image/Karastan/2120_516	67.0	95.0	Rectangle
82	http://s7d5.scene7.com/is/image/Karastan/2120_516	96.0	125.0	Rectangle
82	http://s7d5.scene7.com/is/image/Karastan/2120_516	102.0	138.0	Rectangle
82	http://s7d5.scene7.com/is/image/Karastan/2120_516R	30.0	96.0	Runner
