manufacturers_id	color_category	color_name
290	Shaw Custom	Forest Ferns	
291	Shaw Custom	Fling	
292	Shaw Custom	Empress Garden	
293	Shaw Custom	Grid Block	
294	Shaw Custom	Flores Del Sol	
295	Shaw Custom	Mandara	
296	Shaw Custom	Checkmate	
297	Shaw Custom	Zybra	
298	Shaw Custom	Synergy	
299	Shaw Custom	Kingsley	
300	Shaw Custom	Holiday Greetings	
301	Shaw Custom	Hamadan	
302	Shaw Custom	Ultra Shag	
303	Shaw Custom	Stella	
304	Shaw Custom	Salina	
305	Shaw Custom	Sabicu	
306	Shaw Custom	Contempo	
307	Shaw Custom	Turtle Bay	
308	Shaw Custom	Candy Stripes	
309	Shaw Custom	Lemon Grass	
310	Shaw Custom	Santa Cruz	
311	Shaw Custom	Johari	
312	Shaw Custom	Pueblo	
313	Shaw Custom	Bodini	
314	Shaw Custom	Medallion Veggies	
315	Shaw Custom	Genoa	
316	Shaw Custom	Swirl	
317	Shaw Custom	Majesty	
318	Shaw Custom	Abstracted Leaf	
319	Shaw Custom	Tapestry Garden	
320	Shaw Custom	Domingo	
321	Shaw Custom	Danforth	
322	Shaw Custom	Chateau	
323	Shaw Custom	Morningside	
324	Shaw Custom	Chloe	
325	Shaw Custom	Safari Leaves	
326	Shaw Custom	Snowflakes	
327	Shaw Custom	Bear Country	
328	Shaw Custom	Holiday Wreath	
329	Shaw Custom	Almeria	
330	Shaw Custom	Opposites Pink	
331	Shaw Custom	Bazaar	
332	Shaw Custom	Weaver's Blanket	
333	Shaw Custom	Carnival Bloom	
334	Shaw Custom	Jillies Tapestry	
335	Shaw Custom	Henley	
336	Shaw Custom	Playball	
337	Shaw Custom	Bennington	
338	Shaw Custom	Lilihan	
339	Shaw Custom	Mum's the Word	
340	Shaw Custom	Derby	
341	Shaw Custom	Garden Romance	
342	Shaw Custom	Pop Patterns	
343	Shaw Custom	Franklin	
344	Shaw Custom	Addison	
345	Shaw Custom	Idyll	
346	Shaw Custom	Safari Floral	
347	Shaw Custom	Veranda	
348	Shaw Custom	Somerset House	
349	Shaw Custom	Noel	
350	Shaw Custom	Horizons	
351	Shaw Custom	Pond	
352	Shaw Custom	Wilmington	
353	Shaw Custom	Affinity	
354	Shaw Custom	Barcelona	
355	Shaw Custom	Island Jewels	
356	Shaw Custom	Karma	
357	Shaw Custom	Sapelo	
358	Shaw Custom	Avondale	
359	Shaw Custom	Hampton Court	
360	Shaw Custom	Stone Path	
361	Shaw Custom	Broadway	
362	Shaw Custom	Palatial Palms	
363	Shaw Custom	Alexandria	
364	Shaw Custom	Casanova	
365	Shaw Custom	Tempo	
366	Shaw Custom	South Beach	
367	Shaw Custom	Dresden	
368	Shaw Custom	Hearthside	
369	Shaw Custom	Lisbon	
370	Shaw Custom	Bijoux	
371	Shaw Custom	Eco	
372	Shaw Custom	Flourish	
373	Shaw Custom	Beqir	
374	Shaw Custom	Lillian	
375	Shaw Custom	Kate	
376	Shaw Custom	Cordoba	
377	Shaw Custom	Whispering Woods	
378	Shaw Custom	Safari Bamboo	
379	Shaw Custom	Calypso Night	
380	Shaw Custom	Modern Plains	
381	Shaw Custom	City Block	
382	Shaw Custom	Painted Willow	
383	Shaw Custom	Vintage Lei	
384	Shaw Custom	Field Feathers	
385	Shaw Custom	Vision	
386	Shaw Custom	Bastia	
387	Shaw Custom	Old St. Nick	
388	Shaw Custom	Moderne	
389	Shaw Custom	Stately Empire	
390	Shaw Custom	Ornaments	
391	Shaw Custom	Garden Girl	
392	Shaw Custom	Chandy	
393	Shaw Custom	Spellbound	
394	Shaw Custom	Juliard	
395	Shaw Custom	Patina	
396	Shaw Custom	Delta	
397	Shaw Custom	Barn Door	
398	Shaw Custom	Cha Cha	
399	Shaw Custom	Edison	
400	Shaw Custom	Multi Pansies	
401	Shaw Custom	Bird Study	
402	Shaw Custom	Athens	
403	Shaw Custom	Mayfair	
404	Shaw Custom	Mia	
405	Shaw Custom	Ashford Park	
406	Shaw Custom	Chrisfield	
407	Shaw Custom	Essence	
408	Shaw Custom	Jules	
409	Shaw Custom	Asher	
410	Shaw Custom	Algiers	
411	Shaw Custom	Island Bloom	
412	Shaw Custom	Safari Skin	
413	Shaw Custom	Jet Stream	
414	Shaw Custom	Seaspray Damask	
415	Shaw Custom	Traders Blanket	
416	Shaw Custom	Sunburst	
417	Shaw Custom	Parallel	
418	Shaw Custom	Kashmir	
419	Shaw Custom	Jade	
420	Shaw Custom	Ovation	
421	Shaw Custom	Cadence	
422	Shaw Custom	Hawaii Ranch	
423	Shaw Custom	Exotic Journey	
424	Shaw Custom	Lake House	
425	Shaw Custom	Lexington	
426	Shaw Custom	Sandbar	
427	Shaw Custom	Full Moon	
428	Shaw Custom	Hibiscus Heaven	
429	Shaw Custom	Terra	
430	Shaw Custom	City Streets	
431	Shaw Custom	Haiku	
432	Shaw Custom	Cartagena	
433	Shaw Custom	Tabriz Trellis	
434	Shaw Custom	Persia	
435	Shaw Custom	Austin	
436	Shaw Custom	Desert Bloom Border	
437	Shaw Custom	Mayfield	
438	Shaw Custom	Rattan	
439	Shaw Custom	Tifton	
440	Shaw Custom	Francis	
441	Shaw Custom	Chateau Brittany	
442	Shaw Custom	Notting Hill	
443	Shaw Custom	Mission Leaf	
444	Shaw Custom	Radius	
445	Shaw Custom	Astrid	
446	Shaw Custom	Grand Expressions	
447	Shaw Custom	Trellis	
448	Shaw Custom	Taos	
449	Shaw Custom	Butterfly Fantasy	
450	Shaw Custom	Bengali Border	
451	Shaw Custom	Monaco	
452	Shaw Custom	Facets	
453	Shaw Custom	Contessa	
454	Shaw Custom	Tivoli	
455	Shaw Custom	Tropical Isle	
456	Shaw Custom	Savonnerie	
