manufacturers_id	color_category	color_name
41	Momeni Custom	BLACK	
41	Momeni Custom	BLUE	
41	Momeni Custom	BRICK	
42	Momeni Custom	BROWN	
42	Momeni Custom	CHARCOAL	
42	Momeni Custom	TAUPE	
42	Momeni Custom	CAMEL	
42	Momeni Custom	SLATE	
42	Momeni Custom	SAND	
42	Momeni Custom	TEAL	
43	Momeni Custom	SAND	
43	Momeni Custom	CORAL	
43	Momeni Custom	LILAC	
43	Momeni Custom	GOLD	
43	Momeni Custom	BLUE	
43	Momeni Custom	TERRA COTT	
43	Momeni Custom	BROWN	
43	Momeni Custom	BRICK	
43	Momeni Custom	OATMEAL	
43	Momeni Custom	RASPBERRY	
44	Momeni Custom	BEIGE	
44	Momeni Custom	GARNET	
44	Momeni Custom	Pumice Stone	
44	Momeni Custom	GRASS	
44	Momeni Custom	NEUTRAL	
45	Momeni Custom	CAMEL	
45	Momeni Custom	BEIGE	
45	Momeni Custom	BLUE	
45	Momeni Custom	MULTI	
45	Momeni Custom	JADE	
45	Momeni Custom	PAPRIKA	
45	Momeni Custom	BROWN	
45	Momeni Custom	IVORY	
45	Momeni Custom	SAGE	
45	Momeni Custom	LT.BROWN	
46	Momeni Custom	BEIGE	
46	Momeni Custom	MULTI	
47	Momeni Custom	BROWN	
47	Momeni Custom	SPICE	
47	Momeni Custom	BRICK	
47	Momeni Custom	BLUE	
47	Momeni Custom	BEIGE	
48	Momeni Custom	BROWN	
48	Momeni Custom	SAGE	
48	Momeni Custom	SAND	
48	Momeni Custom	SEAFOAM	
48	Momeni Custom	MULTI	
49	Momeni Custom	BROWN MULTI	
49	Momeni Custom	MULTI	
49	Momeni Custom	IVORY	
49	Momeni Custom	CHARCOAL	
50	Momeni Custom	INDIGO	
50	Momeni Custom	OMBRE	
50	Momeni Custom	L.BLUE	
50	Momeni Custom	RASPBERRY	
50	Momeni Custom	MULTI	
50	Momeni Custom	SUNSET	
50	Momeni Custom	GRASS	
50	Momeni Custom	SAND	
50	Momeni Custom	CHARCOAL	
50	Momeni Custom	TRIBAL GOLD	
51	Momeni Custom	OLIVE GRN	
51	Momeni Custom	BURGUNDY	
51	Momeni Custom	IVORY	
51	Momeni Custom	MOSS GREEN	
51	Momeni Custom	GREEN	
51	Momeni Custom	MOCHA	
51	Momeni Custom	BROWN	
51	Momeni Custom	BEIGE	
51	Momeni Custom	MULTI	
51	Momeni Custom	SAGE	
51	Momeni Custom	WINE	
51	Momeni Custom	SAND	
51	Momeni Custom	EARTH	
51	Momeni Custom	CREAM	
51	Momeni Custom	LIME	
51	Momeni Custom	MARITIME BLUE	
51	Momeni Custom	RED	
51	Momeni Custom	TANGERINE	
51	Momeni Custom	STEEL GREY	
51	Momeni Custom	TAUPE	
51	Momeni Custom	BLUE	
